"id","provider","provider_place_id","location","title","address","hex9","hex8","created_at","updated_at"
"00195a35-79a9-4b40-9351-64418076ace1",google,ChIJK6YUsXpY7TkRO--hWdWD9Hw,POINT (85.13832885771991 25.593819048680146),"Mithapur, Patna","Mithapur, Patna, Bihar 821312, India","893c138ca23ffff","883c138ca3fffff",1711198385105,1711198385105
"001b4720-6e84-4be7-be6a-7e1f197bb1e1",google,ChIJ05tR8syZyzsRRU1Mzimz3L0,POINT (78.49072728306055 17.384105598889448),Home,"4-6-292/291, Main Rd, near Ganesh Temple, Sai Nanditha Enclave, Kutbi Guda, Kachiguda, Hyderabad, Telangana 500027, India","8960a25b017ffff","8860a25b01fffff",1711198433033,1711198433033
"0026b6ac-9faa-4d59-819a-91eaddb1d410",google,ChIJUY5gc0ei-DkRi0E98_CjBBE,POINT (88.5055057 22.7333887),"3 Star Restaurant Cum Bar, Jessore Road, Kazipara, Barasat, Kolkata, West Bengal, India","3 Star Restaurant Cum Bar, Jessore Road, Kazipara, Barasat, Kolkata, West Bengal, India","893cf28a98fffff","883cf28a99fffff",1711219751537,1711219751537
