order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-11-11,810303,12579,1.55,9324,765087,19422,5820,2999,2396,5264,9666,2130,99,180027.0,468068.0,93613.60000000036
2022-11-12,779749,12573,1.61,8855,732212,20159,6321,3427,2708,6078,9748,2373,110,181195.0,486876.0,97375.19999999697
2022-11-13,639751,11335,1.77,8484,598710,17100,5159,2853,2254,5204,8653,1786,96,163733.0,414794.0,82958.8000000008
2022-11-14,838508,13229,1.58,9415,790994,19945,6197,3326,2622,6017,10303,2458,84,188952.0,502222.0,100444.39999999935
2022-11-15,821448,12523,1.52,9382,776578,18994,5528,3087,2390,5500,9592,2084,102,174577.0,482128.0,96425.60000000005
2022-11-16,829530,12729,1.53,9858,784391,18988,5600,3042,2357,5310,9698,1963,88,180077.0,462629.0,92525.79999999929
2022-11-17,808410,13091,1.62,10331,764245,18092,5351,2978,2279,5151,9739,1802,100,191048.0,465252.0,93050.3999999985
2022-11-18,828304,14391,1.74,11226,780570,19407,5907,3219,2480,5512,10512,1950,82,211294.0,512375.0,102474.9999999939
2022-11-19,842639,13095,1.55,9726,793407,20612,6445,3507,2755,6197,10017,2154,101,188230.0,498734.0,99746.79999999671
2022-11-20,661624,11062,1.67,8568,620959,17230,4953,2795,2143,4985,8360,1601,95,160834.5,441893.0,88378.60000000123
2022-11-21,835252,12404,1.49,9556,790034,19362,5539,3037,2262,5472,9349,1954,93,177288.0,468418.0,93683.60000000025
2022-11-22,803039,12188,1.52,9686,759395,18552,5395,2894,2171,4956,9065,1682,76,173044.5,419186.0,83837.20000000118
2022-11-23,803057,11810,1.47,9596,758462,19413,5416,3002,2169,5017,8907,1664,71,168927.5,398847.0,79769.40000000261
2022-11-24,807468,12044,1.49,9469,762930,19387,5433,2909,2282,5065,8947,1740,77,175698.0,423531.0,84706.20000000091
2022-11-25,854108,12596,1.47,9813,805262,21192,6101,3287,2455,6008,9416,1859,85,182414.5,442795.0,88559.000000001
2022-11-26,825490,12727,1.54,9756,775416,21472,6360,3432,2692,6372,9510,1871,84,186106.5,458294.0,91658.79999999842
2022-11-27,665161,11697,1.76,9166,621336,18273,5552,2929,2385,5528,8783,1529,105,170922.5,416890.0,83377.9999999991
2022-11-28,826751,12932,1.56,10118,778450,20648,5891,3199,2514,5941,9629,1883,101,186074.5,457534.0,91506.79999999962
2022-11-29,810875,11931,1.47,9734,766145,19160,5522,2897,2264,5165,8782,1447,99,169564.5,422540.0,84508.00000000166
2022-11-30,833826,12482,1.5,10242,787384,19896,5653,2983,2275,5405,9073,1574,75,179469.0,422237.0,84447.40000000127
2022-12-01,831649,12398,1.49,10128,785142,19779,5652,3030,2405,5518,9064,1577,96,177044.5,439299.0,87859.80000000058
2022-12-02,871477,13335,1.53,10781,819879,21956,6448,3433,2652,6344,9819,1786,111,188856.5,483178.0,96635.59999999413
2022-12-03,871222,13588,1.56,10829,817029,23036,6761,3744,2891,6952,10073,1891,114,195032.5,502454.0,100490.79999999776
2022-12-04,685353,12249,1.79,10053,640009,18788,5576,3042,2257,5643,8923,1429,78,177578.0,444865.0,88972.99999999983
2022-12-05,864762,13226,1.53,10620,815041,21214,6052,3138,2549,6158,9885,1760,92,186230.0,465138.0,93027.59999999689
