order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-11-11,554629,10379,1.87,7478,518335,14754,4661,2565,2145,4700,8007,1939,59,125024.0,289471.0,57894.20000000232
2022-11-12,511395,10156,1.99,6998,474037,14796,4998,2888,2392,5294,7866,2084,80,120361.0,310757.0,62151.400000000736
2022-11-13,407598,9084,2.23,6640,375593,12384,3998,2418,1984,4592,6952,1558,65,109425.0,253562.0,50712.40000000098
2022-11-14,581837,10894,1.87,7578,543238,15336,5036,2901,2366,5389,8517,2205,60,131133.0,322097.0,64419.400000002344
2022-11-15,578780,10521,1.82,7750,541497,15089,4575,2717,2186,4975,8059,1912,71,126304.0,319427.0,63885.40000000182
2022-11-16,583045,10590,1.82,8035,545734,15059,4665,2638,2125,4804,8073,1799,59,128506.0,293402.0,58680.40000000226
2022-11-17,562102,10513,1.87,8112,526066,14216,4416,2597,2061,4650,7913,1641,70,127433.0,283405.0,56681.000000001906
2022-11-18,578695,11575,2.0,8849,539731,15245,4908,2768,2240,4968,8536,1771,57,140187.0,324823.0,64964.60000000208
2022-11-19,574182,10641,1.85,7758,534257,15913,5247,3028,2474,5513,8113,1938,67,128170.0,308505.0,61701.0000000023
2022-11-20,425771,8757,2.06,6644,393634,12852,3920,2388,1890,4451,6599,1412,69,106173.5,259892.0,51978.400000001675
2022-11-21,583851,10107,1.73,7601,546730,15269,4554,2670,2046,4990,7569,1764,64,121546.0,296953.0,59390.600000001825
2022-11-22,563101,10082,1.79,7829,527087,14619,4534,2551,1976,4515,7519,1565,57,121828.5,280259.0,56051.800000002106
2022-11-23,564050,9792,1.74,7792,527535,15093,4471,2635,1968,4572,7420,1525,52,118392.5,270697.0,54139.40000000177
2022-11-24,550632,9545,1.73,7336,515030,14784,4440,2468,2037,4543,7039,1565,54,115844.0,268764.0,53752.800000001684
2022-11-25,593083,10171,1.71,7734,553699,16253,4964,2854,2207,5382,7607,1694,56,123120.5,280622.0,56124.40000000196
2022-11-26,556839,10102,1.81,7582,517045,16133,5114,2934,2407,5633,7545,1662,67,122436.5,289240.0,57848.000000002394
2022-11-27,428348,9095,2.12,6951,394186,13301,4396,2498,2116,4908,6791,1333,74,109637.5,258983.0,51796.60000000195
2022-11-28,586609,10450,1.78,7979,547258,16118,4846,2803,2261,5353,7724,1705,77,126622.5,305144.0,61028.80000000188
2022-11-29,566303,9712,1.71,7742,529992,14777,4553,2503,2043,4704,7167,1341,73,116759.5,270940.0,54188.00000000123
2022-11-30,578064,10077,1.74,8056,540546,15318,4596,2598,2056,4901,7306,1474,52,121767.0,277388.0,55477.60000000201
2022-12-01,572684,9988,1.74,7988,535032,15217,4631,2632,2179,5010,7254,1452,78,120470.5,283097.0,56619.40000000194
2022-12-02,608667,10672,1.75,8397,566773,17114,5271,2985,2394,5747,7850,1658,87,127974.5,310117.0,62023.40000000172
2022-12-03,592689,10680,1.8,8284,549385,17561,5435,3235,2608,6201,7893,1716,87,127751.5,309448.0,61889.600000002334
2022-12-04,443691,9346,2.11,7437,408381,13806,4440,2581,2005,5054,6789,1303,58,111910.0,266355.0,53271.000000001426
2022-12-05,606779,10646,1.75,8318,566264,16596,4949,2764,2294,5603,7956,1615,58,126537.0,302085.0,60417.000000001906
2022-12-06,597272,10563,1.77,8365,558122,15955,4760,2713,2087,5282,7833,1556,78,126197.0,304369.0,60873.80000000243
2022-12-07,604136,10295,1.7,8194,564124,16347,4973,2844,2243,5421,7534,1501,73,124071.0,280362.0,56072.40000000244
2022-12-08,579882,9749,1.68,7600,541681,15783,4791,2737,2205,5093,7127,1519,76,116570.0,280640.0,56128.0000000011
2022-12-09,548371,9747,1.78,7633,510832,15112,4623,2666,2186,5325,7068,1483,68,116757.0,265790.0,53158.00000000172
2022-12-10,486521,9183,1.89,7162,450100,14764,4643,2531,2176,5157,6589,1367,86,107926.5,261727.0,52345.40000000227
2022-12-11,377283,7958,2.11,6260,347076,12001,3835,2284,1806,4032,5654,1111,64,94824.0,250427.0,50085.40000000095
2022-12-12,539626,9325,1.73,7084,503409,15191,4604,2637,2164,4544,6887,1579,85,111350.0,265085.0,53017.00000000102
2022-12-13,557859,9406,1.69,7453,521573,15070,4496,2571,2045,4659,6843,1408,64,112596.5,268133.0,53626.60000000065
2022-12-14,597716,10290,1.72,8169,558366,16137,4846,2749,2136,5321,7418,1537,74,123238.0,316775.0,63355.00000000213
2022-12-15,591520,10272,1.74,8127,552601,15863,4750,2793,2144,5250,7465,1532,56,122314.5,290903.0,58180.60000000227
2022-12-16,619944,10634,1.72,8493,578850,16698,5105,2878,2341,5587,7735,1570,62,126305.0,296084.0,59216.800000002404
2022-12-17,602777,10928,1.81,8828,558809,17701,5577,3175,2499,6205,7831,1485,77,129308.0,316951.0,63390.20000000279
2022-12-18,455832,9687,2.13,7799,419751,14156,4386,2510,2036,5204,7048,1301,65,114955.0,290434.0,58086.800000002426
2022-12-19,612916,10644,1.74,8425,572172,16501,5034,2905,2343,5541,7776,1574,69,126205.5,307790.0,61558.000000001586
2022-12-20,595373,9726,1.63,7691,558412,15560,4630,2546,1969,4578,7101,1525,61,115353.0,290601.0,58120.20000000147
2022-12-21,599775,10238,1.71,8210,561337,15843,4915,2697,2076,4707,7365,1510,56,122372.0,295708.0,59141.60000000138
2022-12-22,590540,9825,1.66,7908,552556,15749,4845,2642,2121,4735,7096,1393,56,116932.5,276188.0,55237.6000000021
2022-12-23,612189,10184,1.66,8021,571950,16759,5315,2796,2215,5147,7374,1563,71,121391.5,304363.0,60872.600000001396
2022-12-24,552506,9955,1.8,7963,512680,16500,5048,2825,2270,5228,7088,1469,89,118529.0,294228.0,58845.60000000226
2022-12-25,401746,8536,2.12,6883,369571,13201,4148,2248,1748,3957,6010,1175,71,99996.5,245132.0,49026.40000000172
2022-12-26,533163,9621,1.8,7762,497178,14962,4553,2516,1911,4295,6877,1323,69,113323.5,279343.0,55868.600000002174
