city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,,Dashboard validation,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Friday,evening_peak,88,116,-2,1577,449,353,311,89,67,-28,1.318181818,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Friday,morning_peak,106,43.5,7,1525,418,291,388,100.5,76,62.5,0.410377358,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Monday,afternoon,67,47,3,1587,344,218,309,67,46,20,0.701492537,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Monday,evening_peak,79,96,-3,1602,414,328,351,81,66,-17,1.215189873,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Monday,morning_peak,126.5,26.5,12.75,1993,511,303,484.5,126,77.5,100,0.209486166,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Saturday,afternoon,57,70,-2,1637,301,224,342,61,44,-13,1.228070175,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Saturday,evening_peak,75,110,-3.5,2568,392,261,510,79,56,-35,1.466666667,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Saturday,morning_peak,70,65.5,1.25,1343,304,238,336,80,59.5,4.5,0.935714286,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Sunday,afternoon,41,103,-8,1519,231,160,288,46,30,-62,2.512195122,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Sunday,evening_peak,50,172,-15.5,2020,273,203,364,59,40,-122,3.44,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Sunday,morning_peak,41,48.5,-0.5,962,169,136,237.5,38.5,30.5,-7.5,1.182926829,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Thursday,afternoon,56,52,0.5,1231,295,206,249,61,41,4,0.928571429,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Thursday,evening_peak,72,116,-4,1333,401,309,256,82,63,-44,1.611111111,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Thursday,morning_peak,90,44.5,4.5,1482,351,232,374.5,89,58.5,45.5,0.494444444,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Tuesday,afternoon,50,82,-5,1157,278,194,225,56,39,-32,1.64,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Tuesday,evening_peak,68,112,-5.5,1194,372,294,248,77,60,-44,1.647058824,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Tuesday,morning_peak,88.5,43.5,5.5,1396,363,264,331.5,84.5,61.5,45,0.491525424,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Wednesday,afternoon,64,49,1,1400,298,216,260,64,45,15,0.765625,no,,no,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Wednesday,evening_peak,71,107,-2.5,1428,403,315,279,74,58,-36,1.507042254,yes,,yes,
Chennai,Ambattur,5bed473f1278885df4ea9d57,Wednesday,morning_peak,92,39.5,6.25,1581,395,279,367,100.5,69,52.5,0.429347826,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Friday,afternoon,83,47,5,1767,491,342,328,90,60,36,0.56626506,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Friday,evening_peak,144,93,9,3051,843,605,623,164,121,51,0.645833333,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Friday,morning_peak,107.5,54.5,7.75,1298,446,331,324,112.5,83,53,0.506976744,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Monday,afternoon,67,44,3,1587,382,267,306,75,57,23,0.656716418,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Monday,evening_peak,129,93,6.5,2428,735,569,491,145,113,36,0.720930233,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Monday,morning_peak,114.5,40.5,9.75,1653,451,296,352.5,116.5,73.5,74,0.35371179,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Saturday,afternoon,74,50,4,1837,425,264,367,80,48,24,0.675675676,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Saturday,evening_peak,96,102,-2.5,2975,529,350,552,94,79,-6,1.0625,yes,,yes,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Saturday,morning_peak,64,36.5,3.5,1125,295,255,277,75,63.5,27.5,0.5703125,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Sunday,afternoon,43,40,1,1416,248,175,269,48,34,3,0.930232558,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Sunday,evening_peak,55,42,1.5,1423,297,207,286,57,43,13,0.763636364,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Sunday,morning_peak,49.5,19,4,1067,207,150,247.5,56,37.5,30.5,0.383838384,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Thursday,afternoon,70,49,2.5,1415,394,300,265,73,58,21,0.7,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Thursday,evening_peak,139,94,7.5,2339,730,580,503,169,129,45,0.676258993,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Thursday,morning_peak,99,50.5,8.5,1604,502,344,403,127.5,86,48.5,0.51010101,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Tuesday,afternoon,67,48,2,1487,389,299,291,75,55,19,0.71641791,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Tuesday,evening_peak,136,116,7.5,2336,703,553,528,145,113,20,0.852941176,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Tuesday,morning_peak,92.5,49.5,7,1345,402,299,328,99.5,74,43,0.535135135,no,,no,
