city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,unique_name,dashboard validation,Note
Hyderabad,Abids,574013f14fdf4798208bba26,Sunday,evening_peak,81,32,6.5,2142,425,283,446,86,61,49,0.395061728,no,Abids_Sunday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Sunday,morning_peak,30,32,0,702,151,121,182,37.5,28.5,-2,1.066666667,yes,Abids_Sunday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Thursday,afternoon,159,41,13,4388,802,373,893,161,74,118,0.257861635,no,Abids_Thursday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Thursday,evening_peak,144,35,13,4753,846,329,1099,173,68,109,0.243055556,no,Abids_Thursday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Thursday,morning_peak,47.5,51,0.75,1450,236,124,352.5,58,30.5,-3.5,1.073684211,yes,Abids_Thursday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Tuesday,afternoon,191,48,19.5,6413,1115,454,1259,236,101,143,0.251308901,no,Abids_Tuesday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Tuesday,evening_peak,201,38,19,4998,1029,419,988,197,85,163,0.189054726,no,Abids_Tuesday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Tuesday,morning_peak,71.5,47.5,3,1185,310,169,306,78,45,24,0.664335664,no,Abids_Tuesday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Wednesday,afternoon,190,44,17.5,5799,1046,431,1234,203,93,146,0.231578947,no,Abids_Wednesday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Wednesday,evening_peak,196,34,20,5587,1076,366,1355,215,72,162,0.173469388,no,Abids_Wednesday,,
Hyderabad,Abids,574013f14fdf4798208bba26,Wednesday,morning_peak,59,56.5,1.75,1164,271,211,282.5,61,48,2.5,0.957627119,no,Abids_Wednesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Friday,afternoon,139,131,1,4229,744,506,856,147,103,8,0.942446043,no,Alwal_Friday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Friday,evening_peak,156,149,2.5,4557,845,550,972,154,110,7,0.955128205,no,Alwal_Friday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Friday,morning_peak,177,80,11.5,6249,771,453,1327,191.5,113.5,97,0.451977401,no,Alwal_Friday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Monday,afternoon,170,144,2,5288,834,580,963,157,113,26,0.847058824,no,Alwal_Monday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Monday,evening_peak,174,171,1,4499,851,576,979,187,124,3,0.982758621,no,Alwal_Monday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Monday,morning_peak,249,79.5,22.25,6133,1214,589,1549,310.5,148,169.5,0.319277108,no,Alwal_Monday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Saturday,afternoon,166,167,-2,7161,878,620,1400,171,120,-1,1.006024096,yes,Alwal_Saturday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Saturday,evening_peak,206,168,8.5,5546,1067,702,1173,223,153,38,0.815533981,no,Alwal_Saturday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Saturday,morning_peak,205,125,10,3897,782,594,988.5,198.5,149.5,80,0.609756098,no,Alwal_Saturday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Sunday,afternoon,164,152,1,6733,788,538,1229,154,112,12,0.926829268,no,Alwal_Sunday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Sunday,evening_peak,162,99,6.5,6417,856,490,1334,170,95,63,0.611111111,no,Alwal_Sunday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Sunday,morning_peak,152,96.5,4.5,4488,600,451,1259,157.5,118.5,55.5,0.634868421,no,Alwal_Sunday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Thursday,afternoon,116,106,2.5,5762,628,347,1211,116,63,10,0.913793103,no,Alwal_Thursday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Thursday,evening_peak,147,109,3.5,4717,811,433,1064,165,92,38,0.741496599,no,Alwal_Thursday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Thursday,morning_peak,196,73,15.75,11456,910,344,2859,212.5,88,123,0.37244898,no,Alwal_Thursday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Tuesday,afternoon,168,107,12,7091,977,479,1418,173,91,61,0.636904762,no,Alwal_Tuesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Tuesday,evening_peak,189,119,8,4844,882,458,1036,187,105,70,0.62962963,no,Alwal_Tuesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Tuesday,morning_peak,280.5,79.5,26.5,8737,1426,487,2282.5,372,120,201,0.28342246,no,Alwal_Tuesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Wednesday,afternoon,146,95,7,8014,833,391,1567,162,76,51,0.650684932,no,Alwal_Wednesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Wednesday,evening_peak,169,94,7,5552,873,413,1265,178,87,75,0.556213018,no,Alwal_Wednesday,,
Hyderabad,Alwal,574013f14fdf4798208bba26,Wednesday,morning_peak,283.5,97.5,24.5,8294,1191,480,2078,314.5,113.5,186,0.343915344,no,Alwal_Wednesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Friday,afternoon,92,86,1,3449,502,343,665,100,70,6,0.934782609,no,Alwal 2_Friday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Friday,evening_peak,125,97,3,3627,633,395,722,123,79,28,0.776,no,Alwal 2_Friday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Friday,morning_peak,91.5,83.5,0.25,3616,398,253,932.5,104,63,8,0.912568306,no,Alwal 2_Friday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Monday,afternoon,120,134,-1.5,4116,636,414,807,127,84,-14,1.116666667,yes,Alwal 2_Monday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Monday,evening_peak,126,125,-0.5,3585,619,426,819,115,85,1,0.992063492,no,Alwal 2_Monday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Monday,morning_peak,133,74.5,7,3573,622,341,878.5,144,87,58.5,0.560150376,no,Alwal 2_Monday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Saturday,afternoon,110,142,-5.5,4274,575,419,860,106,81,-32,1.290909091,yes,Alwal 2_Saturday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Saturday,evening_peak,144,107,3.5,4629,743,488,1065,152,91,37,0.743055556,no,Alwal 2_Saturday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Saturday,morning_peak,97.5,106.5,-0.75,2164,417,286,522.5,100,72,-9,1.092307692,yes,Alwal 2_Saturday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Sunday,afternoon,98,121,-1.5,4435,528,332,883,113,67,-23,1.234693878,yes,Alwal 2_Sunday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Sunday,evening_peak,112,72,3.5,4954,573,301,1106,117,63,40,0.642857143,no,Alwal 2_Sunday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Sunday,morning_peak,78,76.5,0,2891,338,234,751.5,95,62.5,1.5,0.980769231,no,Alwal 2_Sunday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Thursday,afternoon,77,77,-1,4421,461,260,795,80,48,0,1,no,Alwal 2_Thursday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Thursday,evening_peak,87,71,1.5,4068,552,286,997,117,65,16,0.816091954,no,Alwal 2_Thursday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Thursday,morning_peak,101,65.5,4.25,7435,560,223,2031,133.5,56,35.5,0.648514851,no,Alwal 2_Thursday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Tuesday,afternoon,89,77,2,4687,633,293,872,87,61,12,0.865168539,no,Alwal 2_Tuesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Tuesday,evening_peak,117,100,3.5,3675,697,346,752,130,72,17,0.854700855,no,Alwal 2_Tuesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Tuesday,morning_peak,137,62,9,4934,668,242,1216.5,164,60,75,0.452554745,no,Alwal 2_Tuesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Wednesday,afternoon,83,103,-2,5870,523,235,1258,92,44,-20,1.240963855,yes,Alwal 2_Wednesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Wednesday,evening_peak,125,70,4,4415,663,269,894,124,54,55,0.56,no,Alwal 2_Wednesday,,
Hyderabad,Alwal 2,574013f14fdf4798208bba26,Wednesday,morning_peak,123.5,78.5,5.5,4929,695,314,1227,175,76,45,0.63562753,no,Alwal 2_Wednesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Friday,afternoon,7,10,-0.5,344,67,43,60,14,8,-3,1.428571429,yes,Ambar Chreuvu_Friday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Friday,evening_peak,15,13,0,493,116,78,91,23,16,2,0.866666667,no,Ambar Chreuvu_Friday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Friday,morning_peak,17.5,4.5,1,836,75,46,141,19,11.5,13,0.257142857,no,Ambar Chreuvu_Friday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Monday,afternoon,10,8,0,360,76,51,72,14,10,2,0.8,no,Ambar Chreuvu_Monday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Monday,evening_peak,16,13,0,359,87,64,74,20,14,3,0.8125,no,Ambar Chreuvu_Monday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Monday,morning_peak,34.5,7,3.25,635,147,60,147.5,34.5,16,27.5,0.202898551,no,Ambar Chreuvu_Monday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Saturday,afternoon,9,11,-0.5,508,78,60,101,15,10,-2,1.222222222,yes,Ambar Chreuvu_Saturday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Saturday,evening_peak,21,15,1,584,112,79,107,23,15,6,0.714285714,no,Ambar Chreuvu_Saturday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Saturday,morning_peak,14,9.5,0.25,288,58,41,69.5,15.5,11.5,4.5,0.678571429,no,Ambar Chreuvu_Saturday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Sunday,afternoon,13,13,0,571,88,65,102,17,13,0,1,no,Ambar Chreuvu_Sunday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Sunday,evening_peak,12,7,0,608,97,46,126,17,8,5,0.583333333,no,Ambar Chreuvu_Sunday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Sunday,morning_peak,10,7,0.5,316,58,44,74.5,13,10.5,3,0.7,no,Ambar Chreuvu_Sunday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Thursday,afternoon,8,7,0,357,50,26,69,9,5,1,0.875,no,Ambar Chreuvu_Thursday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Thursday,evening_peak,15,10,1,527,100,41,104,19,9,5,0.666666667,no,Ambar Chreuvu_Thursday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Thursday,morning_peak,23,4,2.5,1497,117,41,394,28.5,9.5,19,0.173913043,no,Ambar Chreuvu_Thursday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Tuesday,afternoon,10,5,1.5,441,66,35,84,14,6,5,0.5,no,Ambar Chreuvu_Tuesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Tuesday,evening_peak,19,12,1,489,103,59,88,20,11,7,0.631578947,no,Ambar Chreuvu_Tuesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Tuesday,morning_peak,42,5,4.5,1442,179,31,351,44,8.5,37,0.119047619,no,Ambar Chreuvu_Tuesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Wednesday,afternoon,6,5,0,459,49,28,72,11,3,1,0.833333333,no,Ambar Chreuvu_Wednesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Wednesday,evening_peak,21,9,1,571,108,44,122,20,10,12,0.428571429,no,Ambar Chreuvu_Wednesday,,
Hyderabad,Ambar Chreuvu,574013f14fdf4798208bba26,Wednesday,morning_peak,40.5,6,4,1056,201,63,266,50,14.5,34.5,0.148148148,no,Ambar Chreuvu_Wednesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Friday,afternoon,81,77,0,2470,470,365,482,94,76,4,0.950617284,no,Amberpet_Friday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Friday,evening_peak,77,115,-4,2555,405,284,579,74,53,-38,1.493506494,yes,Amberpet_Friday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Friday,morning_peak,126.5,64,8.5,2899,521,361,667.5,129.5,93.5,62.5,0.505928854,no,Amberpet_Friday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Monday,afternoon,101,73,3,3928,510,390,788,109,81,28,0.722772277,no,Amberpet_Monday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Monday,evening_peak,93,129,-4.5,3269,464,326,685,95,64,-36,1.387096774,yes,Amberpet_Monday,,
