month,ltr_taxi,recency_taxi,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR=0,LTR=0,4828702,15.18,704418,14.59,563158,11.66,402324,8.33,71.44,246005,5.09,61.15,3.8,510015,2.33,2.07,3935307.0,49121499.0,8.011374001432651,7.716061292314932
2022-10-01,NEW,NEW,0,0.0,2878546,0.0,2401129,0.0,1532411,0.0,63.82,1044018,0.0,68.13,16.14,2084632,9.53,2.0,17751484.0,188862315.0,9.399166795133269,8.515404157664278
2022-10-01,TOTAL,,31801083,100.0,12821858,40.32,11243648,35.36,8544944,26.87,76.0,6469059,20.34,75.71,100.0,21878185,100.0,3.4,81690856.0,1855383074.0,4.402910490278623,3.7338954762472296
2022-09-01,1-4,1. LAST_30_DAYS,2092063,6.92,1269773,60.69,1107439,52.94,858445,41.03,77.52,672041,32.12,78.29,10.61,1757315,7.64,2.61,9103330.0,160444379.0,5.673822951441633,5.180249414589872
2022-09-01,1-4,2. 31_90_DAYS,2502549,8.28,888697,35.51,710434,28.39,477262,19.07,67.18,332613,13.29,69.69,5.25,636426,2.77,1.91,3740130.0,59654669.0,6.269634988671213,5.876771219277654
2022-09-01,1-4,3. 91_180_DAYS,2324552,7.69,491303,21.14,382603,16.46,240330,10.34,62.81,163691,7.04,68.11,2.58,297727,1.29,1.82,1905205.0,26918627.0,7.077645527760387,6.3991676938940705
2022-09-01,1-4,4. 181_365_DAYS,2126507,7.03,251511,11.83,203190,9.56,125944,5.92,61.98,85803,4.03,68.13,1.35,161099,0.7,1.88,1070747.0,13908517.0,7.6984986968776035,6.646515496682165
2022-09-01,1-4,5. 365_ABOVE,5258034,17.39,249819,4.75,208082,3.96,132445,2.52,63.65,94247,1.79,71.16,1.49,192036,0.83,2.04,1363501.0,16292842.0,8.368711855181557,7.100236414005707
2022-09-01,5-20,1. LAST_30_DAYS,2377055,7.86,1898544,79.87,1781032,74.93,1540393,64.8,86.49,1315410,55.34,85.39,20.77,4708062,20.47,3.58,17049404.0,410748377.0,4.150814696950099,3.6213210446251556
2022-09-01,21-50,1. LAST_30_DAYS,1102385,3.65,966384,87.66,930857,84.44,859347,77.95,92.32,780044,70.76,90.77,12.32,4168544,18.12,5.34,13877881.0,341478568.0,4.064056225045433,3.3291914395050166
2022-09-01,50+,1. LAST_30_DAYS,743524,2.46,683417,91.92,667393,89.76,639453,86.0,95.81,604597,81.32,94.55,9.55,5909943,25.69,9.78,21722196.0,441489060.0,4.920211612944611,3.6755339264693414
2022-09-01,>=5,2. 31_90_DAYS,2263123,7.49,1208787,53.41,1058209,46.76,804184,35.53,75.99,615615,27.2,76.55,9.72,1423472,6.19,2.31,5850838.0,123683194.0,4.730503644658465,4.110258579023683
2022-09-01,>=5,3. 91_180_DAYS,1363881,4.51,440169,32.27,368273,27.0,253048,18.55,68.71,184087,13.5,72.75,2.91,377987,1.64,2.05,1718955.0,31524691.0,5.452725928384199,4.547656400881512
2022-09-01,>=5,4. 181_365_DAYS,1042052,3.45,177873,17.07,148730,14.27,98268,9.43,66.07,70549,6.77,71.79,1.11,146313,0.64,2.07,743765.0,11785397.0,6.310903230497878,5.083382884637729
2022-09-01,>=5,5. 365_ABOVE,2423967,8.02,149733,6.18,126269,5.21,84333,3.48,66.79,61869,2.55,73.36,0.98,142598,0.62,2.3,833254.0,11603842.0,7.1808457922815565,5.843377887487903
2022-09-01,LTR=0,LTR=0,4611688,15.25,654752,14.2,522699,11.33,371903,8.06,71.15,246359,5.34,66.24,3.89,565879,2.46,2.3,5252730.0,53495447.0,9.819022542236164,9.282426101693119
2022-09-01,NEW,NEW,0,0.0,2811345,0.0,2386165,0.0,1519886,0.0,63.7,1106339,0.0,72.79,17.47,2514669,10.93,2.27,24411468.0,223106160.0,10.941637828377306,9.707626729402557
2022-09-01,TOTAL,,30231380,100.0,12142107,40.16,10601375,35.07,8005241,26.48,75.51,6333264,20.95,79.11,100.0,23002070,100.0,3.6,108643404.0,1926133770.0,5.640491106700237,4.723201172764017
