month,ltr_auto,recency_auto,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-10-01,LTR=0,LTR=0,4276512,28.37,1340968,31.36,1157602,27.07,478577,11.19,41.34,225400,5.27,47.1,7.55,372747,4.93,1.65,2924270.0,52129305.0,5.609647011407499,7.845187218139918
2022-10-01,NEW,NEW,0,0.0,5706723,0.0,4759107,0.0,1117817,0.0,23.49,591594,0.0,52.92,19.82,994832,13.15,1.68,8534009.0,138732703.0,6.151403969978153,8.578341870788234
2022-10-01,TOTAL,,15071443,100.0,12784449,84.83,11202494,74.33,4849064,32.17,43.29,2984310,19.8,61.54,100.0,7566475,100.0,2.5,24915571.0,1002972500.0,2.4841728960664424,3.292890150301164
2022-09-01,1-4,1. LAST_30_DAYS,1488718,10.71,1060357,71.23,971383,65.25,611857,41.1,62.99,424819,28.54,69.43,14.33,933144,11.72,2.2,3873641.0,125856897.0,3.077813844401392,4.151171737695361
2022-09-01,1-4,2. 31_90_DAYS,1852611,13.32,967506,52.22,848577,45.8,404326,21.82,47.65,236396,12.76,58.47,7.98,394753,4.96,1.67,1831934.0,54728029.0,3.3473414509409793,4.640709506957515
2022-09-01,1-4,3. 91_180_DAYS,1563440,11.24,589425,37.7,507233,32.44,194973,12.47,38.44,108126,6.92,55.46,3.65,167692,2.11,1.55,842248.0,23406556.0,3.5983422764117883,5.022589032273454
2022-09-01,1-4,4. 181_365_DAYS,1332403,9.58,350423,26.3,304663,22.87,97864,7.34,32.12,52975,3.98,54.13,1.79,81260,1.02,1.53,461379.0,11229863.0,4.108500700320208,5.677811961604726
2022-09-01,1-4,5. 365_ABOVE,647846,4.66,134706,20.79,117264,18.1,31529,4.87,26.89,16511,2.55,52.37,0.56,25067,0.31,1.52,152579.0,3481943.0,4.38200740218895,6.086847249371684
2022-09-01,5-20,1. LAST_30_DAYS,1106217,7.96,976990,88.32,941291,85.09,755226,68.27,80.23,603207,54.53,79.87,20.35,1900903,23.88,3.15,5175264.0,250696079.0,2.064357775615629,2.72252924005065
2022-09-01,21-50,1. LAST_30_DAYS,294135,2.12,277171,94.23,272309,92.58,249756,84.91,91.72,222252,75.56,88.99,7.5,1184266,14.88,5.33,2726360.0,150779631.0,1.8081752700402882,2.302151712537555
2022-09-01,50+,1. LAST_30_DAYS,109318,0.79,105051,96.1,103960,95.1,100572,92.0,96.74,95295,87.17,94.75,3.22,1026037,12.89,10.77,2770321.0,124516085.0,2.2248699836651626,2.7000205645605373
2022-09-01,>=5,2. 31_90_DAYS,795785,5.72,543260,68.27,502118,63.1,320033,40.22,63.74,214966,27.01,67.17,7.25,436259,5.48,2.03,1508658.0,60131622.0,2.5089261686638022,3.4581704904655264
2022-09-01,>=5,3. 91_180_DAYS,401938,2.89,193512,48.14,173236,43.1,86673,21.56,50.03,52819,13.14,60.94,1.78,91726,1.15,1.74,359675.0,12831403.0,2.8030839651751256,3.9211891939035826
2022-09-01,>=5,4. 181_365_DAYS,219352,1.58,63945,29.15,56674,25.84,23269,10.61,41.06,13313,6.07,57.21,0.45,22634,0.28,1.7,92952.0,3115960.0,2.9830934928561343,4.106742069453035
2022-09-01,>=5,5. 365_ABOVE,61747,0.44,11833,19.16,10324,16.72,3555,5.76,34.43,1903,3.08,53.53,0.06,3108,0.04,1.63,14147.0,435835.0,3.245953170351165,4.551801801801802
2022-09-01,LTR=0,LTR=0,4031604,28.99,1268780,31.47,1083711,26.88,438839,10.88,40.49,237266,5.89,54.07,8.0,419066,5.26,1.77,4686686.0,57212883.0,8.191662007313981,11.183646490051686
2022-09-01,NEW,NEW,0,0.0,5565599,0.0,4672478,0.0,1111980,0.0,23.8,684161,0.0,61.53,23.08,1275513,16.02,1.86,15284355.0,167146914.0,9.144263949737056,11.982908053465547
2022-09-01,TOTAL,,13905114,100.0,12108558,87.08,10565221,75.98,4430452,31.86,41.93,2964009,21.32,66.9,100.0,7961428,100.0,2.7,39780199.0,1045569700.0,3.804643439839544,4.9966160593300595
