city,pickup_cluster,pickup_hex_8,usecase_tag,fe_count,requested_orders,net_orders,high_income_%,high_income_thrshld,affluence_hi_tag,fe_bucket,flag_2
Bangalore,Hulimavu,886189241bfffff,Unknown,4363,728,275,38.0,32.0,High,3500+,High fe
Bangalore,Akshaynagar Lake,8861892419fffff,residential,8688,1491,572,42.0,32.0,High,3500+,High fe
Bangalore,Arekere Extension,8861892417fffff,educational,10441,1761,751,38.0,32.0,High,3500+,High fe
Bangalore,RTO Devarachikanahalli,8861892415fffff,office,9690,1973,711,37.0,32.0,High,3500+,High fe
Bangalore,Arekere Lake,8861892413fffff,educational,10740,1929,802,39.0,32.0,High,3500+,High fe
Bangalore,Arekere Extension,8861892411fffff,residential,9998,1703,683,40.0,32.0,High,3500+,High fe
Bangalore,Kudlu Gate,886189240dfffff,office,18631,3317,1505,40.0,32.0,High,3500+,High fe
Bangalore,Begur,886189240bfffff,Unknown,7968,1578,552,37.0,32.0,High,3500+,High fe
Bangalore,Begur,8861892409fffff,office,5009,1097,414,37.0,32.0,High,3500+,High fe
Bangalore,Hongasandra,8861892407fffff,household_needs,14274,2806,1245,32.0,32.0,Less,3500+,High fe
Bangalore,Garvebhavipalya Lake,8861892405fffff,educational,24178,4992,2093,35.0,32.0,High,3500+,High fe
Bangalore,Hongasandra,8861892403fffff,household_needs,11294,2082,701,37.0,32.0,High,3500+,High fe
Bangalore,Hongasandra,8861892401fffff,household_needs,9864,2010,731,37.0,32.0,High,3500+,High fe
Bangalore,Muthsandra,8861892337fffff,,63,10,2,15.0,32.0,Less,61-450,Less fe
Bangalore,Muthsandra,8861892335fffff,,23,3,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Muthsandra,8861892331fffff,,48,3,0,14.0,32.0,Less,0-60,Less fe
Bangalore,Muthsandra,8861892321fffff,,6,2,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Muthsandra,8861892307fffff,,20,2,0,10.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618922edfffff,,3,1,0,100.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922ebfffff,,164,25,2,34.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur,88618922e9fffff,,11,2,0,33.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922e7fffff,,7,3,0,33.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922e1fffff,,156,10,2,38.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur,88618922ddfffff,,42,9,2,18.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618922d9fffff,,7,2,1,50.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922d7fffff,,5,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618922d5fffff,,26,10,1,18.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,88618922d3fffff,,101,19,1,36.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur,88618922d1fffff,,7,1,0,33.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922cdfffff,,99,17,3,19.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618922cbfffff,,100,12,1,25.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618922c9fffff,,1274,191,43,35.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur,88618922c7fffff,,787,83,21,29.0,32.0,Less,451-3500,Less fe
Bangalore,Sarjapur,88618922c5fffff,,109,12,4,18.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618922c3fffff,,25,3,1,40.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922c1fffff,,413,52,9,39.0,32.0,High,61-450,Less fe
Bangalore,Varthur,88618922bdfffff,,4,1,0,50.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur Road,88618922bbfffff,,287,71,22,36.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur Road,88618922b9fffff,,58,10,3,52.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur Road,88618922b7fffff,residential,300,61,18,37.0,32.0,High,61-450,Less fe
Bangalore,Varthur,88618922b5fffff,,153,16,6,29.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur Road,88618922b3fffff,,964,180,72,38.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur Road,88618922b1fffff,,220,46,13,25.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618922abfffff,,246,34,2,24.0,32.0,Less,61-450,Less fe
Bangalore,Varthur,88618922a7fffff,Unknown,70,4,1,32.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,88618922a5fffff,,142,34,6,44.0,32.0,High,61-450,Less fe
Bangalore,Varthur,88618922a3fffff,,54,10,2,39.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,88618922a1fffff,,40,8,0,15.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,886189229dfffff,,258,46,10,27.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,886189229bfffff,,26,8,3,21.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,8861892299fffff,,18,6,3,36.0,32.0,High,0-60,Less fe
Bangalore,Huskur,8861892297fffff,,103,24,6,19.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur Road,8861892295fffff,,346,39,13,30.0,32.0,Less,61-450,Less fe
Bangalore,Huskur,8861892293fffff,,47,1,0,35.0,32.0,High,0-60,Less fe
Bangalore,Huskur,8861892291fffff,,128,18,4,37.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur,886189228dfffff,,89,10,1,9.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,886189228bfffff,,193,31,9,25.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,8861892289fffff,,1507,299,78,26.0,32.0,Less,451-3500,Less fe
Bangalore,Sarjapur,8861892287fffff,,83,22,8,21.0,32.0,Less,61-450,Less fe
