hex_8,usecase_tag
88618924c3fffff,residential
8861892ea5fffff,leisure
8861892567fffff,Unknown
88601459cbfffff,Unknown
8861892d9dfffff,residential
8861892e91fffff,educational
8860145133fffff,Unknown
8861892e97fffff,residential
8860145919fffff,office
8860169611fffff,Unknown
8861892c13fffff,Unknown
8860145ac5fffff,educational
8860169653fffff,educational
8860145ad7fffff,Unknown
886014594dfffff,residential
88618925d1fffff,residential
88618920b1fffff,residential
8861892423fffff,office
8860145b61fffff,leisure
8860145b11fffff,residential
8860145a69fffff,educational
88618920d1fffff,residential
88618924b7fffff,leisure
8860145129fffff,residential
886189209dfffff,residential
8861892e89fffff,residential
8860145811fffff,Unknown
8860145b67fffff,leisure
8860145847fffff,Unknown
8860169647fffff,leisure
8861892409fffff,office
8860145ad1fffff,residential
886189208bfffff,residential
8861892521fffff,residential
8860145ac7fffff,educational
8860145905fffff,residential
8861892033fffff,Unknown
8860145843fffff,Unknown
8861892737fffff,residential
88601458e9fffff,Unknown
8860145addfffff,residential
88618926a1fffff,residential
88618921e3fffff,Unknown
886014536dfffff,Unknown
88618926b5fffff,educational
8860145b1dfffff,leisure
886014516dfffff,residential
8861892c1bfffff,residential
88618925e5fffff,leisure
8860145131fffff,educational
8861892cc1fffff,educational
88618924e5fffff,residential
8860145363fffff,Unknown
8860145b3bfffff,residential
8861892529fffff,Unknown
8861892e11fffff,residential
886014510dfffff,residential
886189201dfffff,Unknown
8861892e5dfffff,leisure
88618925dbfffff,residential
886014510bfffff,residential
8861892e31fffff,residential
8860145a45fffff,leisure
8860145a3dfffff,educational
8860145915fffff,residential
8861892191fffff,office
8861892cc5fffff,residential
88601459c9fffff,office
8861892563fffff,residential
88618926b3fffff,Unknown
8861892c39fffff,residential
8860145839fffff,household_needs
8861892d83fffff,residential
8861892cd1fffff,leisure
8860169643fffff,residential
8861892625fffff,Unknown
886014514bfffff,residential
8860145a07fffff,residential
8861892db7fffff,residential
8861892eb9fffff,residential
8861892cb1fffff,residential
8860145863fffff,Unknown
8860145833fffff,Unknown
8861892419fffff,residential
88618920d7fffff,Unknown
8861892513fffff,residential
88618925b3fffff,educational
88601459d5fffff,Unknown
8861892d85fffff,Unknown
8860145913fffff,Unknown
88601696d1fffff,Unknown
886014584dfffff,health_and_personal
8861892ccdfffff,residential
8860145985fffff,Unknown
8860145323fffff,residential
88618926abfffff,Unknown
8861892c15fffff,residential
8861892eb3fffff,residential
88618920cdfffff,Unknown
8861892767fffff,residential
8860145aedfffff,educational
8861892ec9fffff,leisure
8860145a61fffff,leisure
8860145ab1fffff,Unknown
886014532bfffff,Unknown
8861892db1fffff,residential
8860145aa3fffff,Unknown
8861892c5dfffff,residential
88601459a9fffff,Unknown
886014512bfffff,Unknown
8860145933fffff,residential
88618921d1fffff,residential
8861892ec3fffff,residential
8861892c81fffff,residential
8860145b03fffff,health_and_personal
8861892eabfffff,residential
8861892e85fffff,residential
8860169759fffff,residential
88618921a9fffff,Unknown
8861892585fffff,educational
8861892587fffff,residential
8860169629fffff,residential
8860145127fffff,Unknown
8861892c05fffff,residential
8861892ee5fffff,office
8861892491fffff,office
88618921ddfffff,residential
886014513dfffff,residential
88618925a7fffff,office
8860145b5dfffff,household_needs
8861892dc3fffff,residential
88618920e7fffff,residential
8860145b53fffff,residential
88618925b9fffff,leisure
8860145369fffff,Unknown
88618920bbfffff,residential
8860145961fffff,Unknown
8861892cedfffff,residential
886189208dfffff,residential
8860145903fffff,residential
886016965bfffff,leisure
88618924bdfffff,leisure
8860145a8dfffff,Unknown
8861892d99fffff,residential
8860145143fffff,residential
8861892593fffff,educational
886016966bfffff,transit_station
88601451e5fffff,Unknown
8861892723fffff,residential
886016965dfffff,educational
8860145b63fffff,leisure
8860145b5bfffff,residential
88618921d5fffff,residential
8861892ca5fffff,residential
8860145a1bfffff,residential
8860145a21fffff,residential
8861892ed7fffff,residential
8860169641fffff,educational
8861892519fffff,leisure
8861892e6bfffff,office
8861892c4bfffff,Unknown
8861892e67fffff,health_and_personal
88601696cdfffff,Unknown
8861892407fffff,household_needs
8860169619fffff,educational
8861892c21fffff,educational
8861892545fffff,residential
886189245dfffff,Unknown
8861892e6dfffff,residential
88618924cbfffff,residential
8860145ae9fffff,educational
886014592bfffff,Unknown
8860145831fffff,office
8861892cadfffff,residential
8860145801fffff,educational
8860145867fffff,Unknown
8861892e15fffff,health_and_personal
8860145917fffff,residential
88618926b7fffff,Unknown
88601451c5fffff,Unknown
8861892559fffff,Unknown
8860145aa1fffff,Unknown
8860145a55fffff,health_and_personal
88618926a9fffff,Unknown
88618920b9fffff,office
8861892e35fffff,educational
886014593bfffff,Unknown
8861892e33fffff,residential
88618920e5fffff,residential
8861892ec5fffff,Unknown
8861892dddfffff,residential
8860145809fffff,office
88601459ddfffff,Unknown
8861892457fffff,residential
8861892ebbfffff,educational
8860145823fffff,office
88618921a1fffff,Unknown
8860145b55fffff,transit_station
8861892f51fffff,Unknown
8861892ee7fffff,educational
88618924d1fffff,residential
8861892725fffff,Unknown
886189252dfffff,residential
8860145a85fffff,transit_station
8860145109fffff,residential
886014596dfffff,residential
8861892adbfffff,Unknown
88601458e5fffff,Unknown
8860145a41fffff,leisure
8860145855fffff,Unknown
8860145b47fffff,residential
8861892697fffff,residential
88618925c3fffff,educational
8861892551fffff,Unknown
88618920a1fffff,residential
8860145155fffff,residential
8860145869fffff,leisure
88618926bdfffff,educational
886189218bfffff,office
8861892c99fffff,educational
8860145157fffff,residential
8861892ce1fffff,office
886014598bfffff,Unknown
8861892dbdfffff,Unknown
8860145145fffff,residential
8860145b69fffff,transit_station
88618925c5fffff,residential
88601696d9fffff,Unknown
886014583dfffff,office
886189249dfffff,residential
8861892e57fffff,residential
8861892e27fffff,household_needs
88618921e5fffff,Unknown
8861892085fffff,Unknown
8861892ea3fffff,residential
88618926a5fffff,residential
8860145b17fffff,residential
8860145b35fffff,educational
88618925e9fffff,educational
8860145105fffff,residential
8860145185fffff,Unknown
8860145a23fffff,leisure
886189250dfffff,Unknown
8860145365fffff,Unknown
88601458edfffff,food
886189243bfffff,residential
88618921b5fffff,residential
88601696cbfffff,residential
886016962dfffff,leisure
8860145a29fffff,Unknown
8861892ecbfffff,residential
88618920bdfffff,residential
8861892e23fffff,residential
88601458e7fffff,Unknown
886014593dfffff,Unknown
8860145b59fffff,educational
8860145101fffff,residential
88601696d3fffff,Unknown
8861892031fffff,Unknown
88618925c9fffff,residential
8861892401fffff,household_needs
8860145b07fffff,residential
8861892ed9fffff,residential
88618925ebfffff,residential
8860169639fffff,Unknown
8861892e0bfffff,residential
8860145b4dfffff,leisure
886014512dfffff,leisure
8860145819fffff,Unknown
8861892727fffff,residential
8861892695fffff,Unknown
8860145b6bfffff,leisure
88618921d3fffff,residential
88618924abfffff,residential
8860145b0bfffff,residential
8860169621fffff,residential
886014595dfffff,office
8861892095fffff,residential
8860145835fffff,office
8861892c89fffff,residential
8861892091fffff,residential
8861892c9dfffff,residential
8860145a15fffff,residential
8860145ac3fffff,residential
8861892d9bfffff,residential
8861892e41fffff,office
8860169651fffff,educational
8861892447fffff,residential
8860145a57fffff,Unknown
8861892cc9fffff,leisure
886189246dfffff,residential
88601451ebfffff,educational
8861892527fffff,Unknown
8861892561fffff,residential
88618920a7fffff,office
886189219bfffff,office
88618920c5fffff,residential
8860145a6dfffff,educational
8861892c55fffff,residential
8860169617fffff,Unknown
8860145b09fffff,leisure
8861892dd1fffff,residential
8861892e39fffff,educational
8860145335fffff,residential
88601458adfffff,Unknown
8861892c2bfffff,residential
88618925d5fffff,educational
8860145901fffff,residential
8861892d8bfffff,residential
8861892537fffff,residential
8861892e19fffff,educational
8861892097fffff,office
886014516bfffff,residential
88618925cdfffff,residential
8861892da9fffff,Unknown
8861892ed1fffff,residential
88618921b1fffff,residential
8861892c45fffff,Unknown
88618924bbfffff,Unknown
8861892c9bfffff,residential
8860145acdfffff,residential
8860145a3bfffff,leisure
886014586dfffff,residential
886189218dfffff,residential
8861892685fffff,Unknown
8861892721fffff,residential
88618926a7fffff,residential
8861892411fffff,residential
8861892e17fffff,residential
8860145803fffff,residential
8861892cdbfffff,educational
8861892f19fffff,Unknown
88601458e3fffff,Unknown
88618921cdfffff,Unknown
8861892539fffff,leisure
8860169657fffff,educational
8860145ab9fffff,Unknown
8861892d93fffff,residential
886014599dfffff,Unknown
88618920b3fffff,residential
8860145117fffff,residential
88601459dbfffff,Unknown
8861892ed5fffff,residential
8861892453fffff,Unknown
8861892183fffff,Unknown
8861892497fffff,residential
886014590dfffff,residential
886014515dfffff,residential
886016964bfffff,educational
8861892733fffff,residential
88618921c9fffff,Unknown
8861892c01fffff,Unknown
8861892e8dfffff,residential
8861892195fffff,Unknown
88618920e1fffff,Unknown
8860145165fffff,residential
8861892dabfffff,educational
88618924d7fffff,residential
8860145a5dfffff,Unknown
886189242bfffff,educational
88618924b1fffff,residential
8861892c29fffff,residential
886014581bfffff,Unknown
8861892ce5fffff,residential
88618920c7fffff,residential
8861892463fffff,residential
8860169605fffff,residential
8860145b1bfffff,office
8861892e45fffff,office
8860145957fffff,office
8860145ae7fffff,educational
88618920d9fffff,Unknown
886189271bfffff,Unknown
8860145161fffff,residential
886014595bfffff,leisure
88601459ebfffff,household_needs
88618921bbfffff,Unknown
8860145a19fffff,residential
8861892e9bfffff,leisure
88618920ebfffff,residential
88601459e1fffff,office
8861892e07fffff,residential
8861892c0bfffff,residential
88618921c5fffff,Unknown
8860169625fffff,educational
8860145b33fffff,office
886016975dfffff,Unknown
8860145119fffff,leisure
8861892d87fffff,residential
88618920a9fffff,residential
8861892565fffff,residential
8861892c31fffff,residential
88618920e9fffff,educational
8860145329fffff,residential
88618924adfffff,residential
88618925cbfffff,educational
886189249bfffff,Unknown
88618921b3fffff,residential
8861892de3fffff,Unknown
8860169645fffff,residential
88618925e7fffff,residential
8860145aadfffff,Unknown
8861892f55fffff,Unknown
88601696c9fffff,residential
886016944bfffff,residential
886189254bfffff,residential
8861892cd7fffff,leisure
88618924c9fffff,residential
8860145a0dfffff,health_and_personal
8861892531fffff,residential
8861892445fffff,household_needs
88601451e9fffff,Unknown
88618924e7fffff,residential
88601458c7fffff,Unknown
886016964dfffff,residential
88618924b3fffff,Unknown
88618921c3fffff,residential
8861892e4dfffff,office
8861892ea7fffff,residential
8861892dd7fffff,residential
8861892ee9fffff,residential
886014513bfffff,residential
886016960bfffff,educational
88601696c5fffff,residential
88618920dbfffff,educational
8861892e59fffff,residential
886014580bfffff,educational
88618926a3fffff,Unknown
8860145113fffff,Unknown
886014532dfffff,residential
8861892c85fffff,health_and_personal
8861892547fffff,Unknown
8860145b2dfffff,leisure
8861892711fffff,residential
88618921b7fffff,residential
8861892197fffff,office
8861892683fffff,Unknown
88618924a5fffff,residential
8860145a1dfffff,educational
8861892c57fffff,residential
8860145981fffff,Unknown
8861892dcbfffff,residential
8860145a47fffff,residential
8861892cd5fffff,health_and_personal
886189243dfffff,educational
88618921e9fffff,Unknown
8861892429fffff,residential
8861892c41fffff,Unknown
8860169699fffff,Unknown
8860145807fffff,Unknown
886016963bfffff,Unknown
8860145a83fffff,residential
88601451adfffff,Unknown
886014584bfffff,health_and_personal
88601458c1fffff,Unknown
8861892db3fffff,residential
8861892495fffff,Unknown
886014580dfffff,transit_station
8860145987fffff,Unknown
886189250bfffff,Unknown
8861892549fffff,residential
8861892557fffff,Unknown
8861892c67fffff,residential
886014582dfffff,residential
8860145adbfffff,residential
8860145945fffff,residential
8861892439fffff,residential
8860169689fffff,Unknown
8861892e95fffff,educational
886014511dfffff,residential
88601696edfffff,Unknown
8860145a59fffff,leisure
8860145857fffff,Unknown
8861892039fffff,Unknown
886189240dfffff,office
8860169711fffff,Unknown
8861892c47fffff,Unknown
88601458c5fffff,Unknown
88601451e1fffff,Unknown
8860145aa9fffff,transit_station
886189273bfffff,residential
886016960dfffff,leisure
8861892dd5fffff,residential
8860169601fffff,residential
886189258bfffff,educational
8861892ce3fffff,residential
886016944dfffff,residential
886014596bfffff,Unknown
8861892035fffff,Unknown
886189259bfffff,educational
8861892c09fffff,Unknown
8860145123fffff,residential
8860145b45fffff,residential
886014514dfffff,Unknown
8860169663fffff,Unknown
8861892da3fffff,residential
88618925d7fffff,residential
8861892c8bfffff,Unknown
88618920d3fffff,Unknown
8860145aabfffff,transit_station
886014518dfffff,Unknown
8861892535fffff,residential
8861892623fffff,residential
8861892ecdfffff,office
8861892719fffff,Unknown
88618924e1fffff,residential
88618921a3fffff,Unknown
8861892eb5fffff,Unknown
8861892c03fffff,Unknown
8860145861fffff,leisure
88618920ddfffff,residential
8861892debfffff,residential
8861892e2dfffff,residential
88618925bdfffff,educational
88618925d3fffff,residential
88618926b1fffff,residential
8860145989fffff,Unknown
88618924d5fffff,residential
8860145b51fffff,residential
8860145939fffff,residential
8860145a31fffff,leisure
8860145ae1fffff,educational
8860145ae3fffff,educational
8861892739fffff,residential
8861892c43fffff,residential
8860145a0bfffff,leisure
8861892637fffff,Unknown
8861892099fffff,Unknown
8860169661fffff,leisure
88601451cdfffff,Unknown
8861892e43fffff,residential
8861892e8bfffff,residential
8860145a5bfffff,residential
8860145141fffff,residential
88618926e3fffff,Unknown
8860145b37fffff,office
8861892d8dfffff,residential
8861892f57fffff,Unknown
88618924a9fffff,educational
8860145149fffff,residential
88601459d1fffff,Unknown
8860145acbfffff,office
8861892ca1fffff,residential
8860169609fffff,educational
8860145125fffff,leisure
8861892717fffff,residential
8861892cbbfffff,Unknown
8860145a65fffff,educational
88618924e3fffff,residential
88618925e3fffff,educational
8861892e0dfffff,residential
88601459e9fffff,Unknown
8861892dd3fffff,residential
8860169757fffff,Unknown
88618925edfffff,leisure
8861892f1bfffff,Unknown
8861892ce9fffff,office
88601451a9fffff,Unknown
88601459a5fffff,educational
8860145ab5fffff,Unknown
88618920cbfffff,residential
8860145ad3fffff,Unknown
88618920d5fffff,residential
886189201bfffff,Unknown
8861892533fffff,leisure
8860145817fffff,Unknown
8861892507fffff,Unknown
8861892c33fffff,residential
8861892c51fffff,health_and_personal
8860145103fffff,residential
8861892489fffff,residential
8860145a11fffff,residential
8861892c95fffff,Unknown
8861892cb5fffff,residential
8861892cb9fffff,health_and_personal
88601458c9fffff,Unknown
8861892089fffff,residential
8861892ca7fffff,residential
8860145a35fffff,educational
8860145a05fffff,Unknown
886189253bfffff,office
8860169713fffff,Unknown
8861892505fffff,Unknown
8861892e03fffff,residential
8860145111fffff,residential
8861892cb7fffff,residential
88601459e3fffff,Unknown
8860169665fffff,residential
88618925ddfffff,residential
8861892f0bfffff,Unknown
8860145911fffff,Unknown
8861892c23fffff,residential
8860145b43fffff,educational
8860145825fffff,office
8860145a03fffff,Unknown
886016961bfffff,health_and_personal
8861892509fffff,Unknown
8861892e83fffff,residential
8860145927fffff,Unknown
8860145b13fffff,office
88601459c3fffff,Unknown
8860145837fffff,Unknown
8861892087fffff,office
8861892e25fffff,educational
8860145865fffff,leisure
88618924d3fffff,leisure
886189254dfffff,office
8861892f09fffff,Unknown
886189272bfffff,residential
886014536bfffff,Unknown
88618925a1fffff,educational
8861892ee1fffff,Unknown
8860145a67fffff,leisure
88601696d7fffff,Unknown
8861892c49fffff,Unknown
8861892189fffff,residential
88618924ddfffff,residential
886189256bfffff,Unknown
8860145849fffff,health_and_personal
8860145a4bfffff,residential
8861892e69fffff,residential
8861892e1dfffff,residential
8860145a63fffff,leisure
8861892e21fffff,residential
8861892c61fffff,Unknown
88618924ebfffff,residential
8860145b19fffff,residential
8861892f5dfffff,Unknown
88618921c1fffff,residential
8860145b2bfffff,leisure
88618921cbfffff,residential
8861892e2bfffff,residential
88618925b5fffff,office
886014585dfffff,Unknown
8861892e01fffff,residential
8861892427fffff,residential
88618925a3fffff,residential
886014591dfffff,residential
8861892cc3fffff,Unknown
8861892541fffff,office
8861892cd3fffff,Unknown
886189219dfffff,office
8861892487fffff,office
8861892e37fffff,Unknown
8861892037fffff,Unknown
8860145965fffff,residential
8860145b29fffff,leisure
8861892dd9fffff,residential
8860145ac1fffff,educational
88618921dbfffff,residential
88618925e1fffff,residential
8861892483fffff,residential
886016974bfffff,educational
8860169603fffff,educational
88601459d7fffff,Unknown
8861892517fffff,Unknown
8860145305fffff,Unknown
8860169615fffff,Unknown
8860169627fffff,residential
8861892413fffff,educational
88618925bbfffff,leisure
8860145b21fffff,leisure
8860145951fffff,office
886016971bfffff,Unknown
8861892421fffff,leisure
8860145a13fffff,residential
8861892ec1fffff,residential
8860145a43fffff,leisure
8861892511fffff,Unknown
88601459d9fffff,Unknown
886189255bfffff,leisure
886189246bfffff,Unknown
8860145969fffff,residential
8860145a6bfffff,health_and_personal
88601459e5fffff,Unknown
8860145955fffff,office
8861892d91fffff,Unknown
8861892e53fffff,residential
8860145aebfffff,educational
8861892e63fffff,residential
88618920edfffff,Unknown
8861892e93fffff,health_and_personal
8861892dbbfffff,Unknown
8860169741fffff,Unknown
8860145a2dfffff,residential
8861892d95fffff,Unknown
88618924c7fffff,residential
8861892f5bfffff,leisure
8860145a01fffff,leisure
8860145a87fffff,Unknown
8861892e61fffff,residential
8861892011fffff,Unknown
8861892501fffff,Unknown
8860145815fffff,Unknown
8861892443fffff,residential
8860145b4bfffff,leisure
88601696ddfffff,Unknown
8860169751fffff,Unknown
8861892c8dfffff,office
88618926bbfffff,residential
88601459a1fffff,educational
8860145327fffff,residential
8861892c83fffff,residential
88618920c9fffff,Unknown
8861892e99fffff,residential
8860145851fffff,health_and_personal
886014594bfffff,leisure
88618925b7fffff,food
8861892635fffff,residential
8860145b23fffff,educational
8861892425fffff,leisure
886189263dfffff,residential
8860169449fffff,leisure
8861892499fffff,residential
8861892461fffff,residential
8861892715fffff,residential
8861892e49fffff,office
88601696d5fffff,Unknown
88618924cdfffff,residential
8861892db9fffff,Unknown
8860145821fffff,Unknown
8860145907fffff,residential
8861892c97fffff,office
8861892d89fffff,residential
8860145a09fffff,leisure
8861892c91fffff,educational
8860169631fffff,Unknown
8861892627fffff,residential
8861892553fffff,residential
88618924b5fffff,leisure
8860145853fffff,Unknown
8861892e65fffff,Unknown
886014591bfffff,office
8861892c4dfffff,Unknown
8861892083fffff,residential
8861892013fffff,Unknown
886014511bfffff,Unknown
8860169649fffff,Unknown
8861892e3bfffff,residential
8861892c19fffff,residential
88618921bdfffff,Unknown
8861892c53fffff,residential
88618921c7fffff,residential
8860145829fffff,Unknown
8860145115fffff,residential
8860145943fffff,leisure
8860145a17fffff,educational
8861892621fffff,office
8861892ccbfffff,educational
8861892e87fffff,residential
8861892403fffff,household_needs
8860145a27fffff,leisure
8860145b31fffff,residential
8861892415fffff,office
886189256dfffff,residential
8861892493fffff,residential
8861892e3dfffff,residential
8860145325fffff,residential
8860169667fffff,leisure
8861892405fffff,educational
8861892c5bfffff,health_and_personal
88618925b1fffff,leisure
8861892e81fffff,govt_amenity
886016963dfffff,residential
8860169743fffff,Unknown
88618926adfffff,residential
8860145b3dfffff,educational
886189269dfffff,Unknown
8860145949fffff,educational
8860145953fffff,office
8861892187fffff,Unknown
8860145147fffff,Unknown
88601459d3fffff,Unknown
886189209bfffff,residential
88618921abfffff,residential
88618925d9fffff,office
8860145ad5fffff,residential
8861892093fffff,office
8861892cebfffff,office
8861892da1fffff,educational
8860145a25fffff,health_and_personal
8860145169fffff,residential
8861892437fffff,leisure
8861892dc9fffff,educational
8861892433fffff,residential
8861892023fffff,Unknown
8861892ca3fffff,residential
8860169613fffff,Unknown
8860145963fffff,residential
8860145929fffff,Unknown
8861892435fffff,Unknown
8861892467fffff,residential
