month,ltr_auto,recency_auto,ao_recency,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
01/11/22,LTR=0,LTR=0,1. LAST_7_DAYS,716536,4.41,547949,76.47,478889,66.83,201107,28.07,41.99,102049,14.24,50.74,4.44,180166,2.76,1.77,1310995,2.41E+07,5.449402417,7.276594918
01/11/22,LTR=0,LTR=0,2. 8_14_DAYS,381117,2.35,213271,55.96,176613,46.34,61965,16.26,35.09,29458,7.73,47.54,1.28,45954,0.7,1.56,358373,6312954,5.676787761,7.798515907
01/11/22,LTR=0,LTR=0,3. 15_30_DAYS,570721,3.51,238669,41.82,192122,33.66,63388,11.11,32.99,30025,5.26,47.37,1.31,45572,0.7,1.52,369525,6359131,5.810935488,8.108597384
01/11/22,LTR=0,LTR=0,4. 31_60_DAYS,554866,3.42,155811,28.08,123145,22.19,39228,7.07,31.86,18652,3.36,47.55,0.81,27975,0.43,1.5,231488,3900690,5.934539787,8.274816801
01/11/22,LTR=0,LTR=0,5. 61_90_DAYS,424638,2.61,73342,17.27,58168,13.7,19094,4.5,32.83,9184,2.16,48.1,0.4,14183,0.22,1.54,119934,2009018,5.969782252,8.456179934
01/11/22,LTR=0,LTR=0,6. 91_180_DAYS,798087,4.91,79792,10,67649,8.48,21761,2.73,32.17,10651,1.33,48.95,0.46,16961,0.26,1.59,140030,2355700,5.944305302,8.255999057
01/11/22,LTR=0,LTR=0,7. 181_365_DAYS,673327,4.15,36643,5.44,32410,4.81,10390,1.54,32.06,5397,0.8,51.94,0.23,8736,0.13,1.62,73766,1215797,6.067295774,8.443910256
01/11/22,LTR=0,LTR=0,NO_AO,510786,3.14,18953,3.71,16811,3.29,6364,1.25,37.86,4008,0.78,62.98,0.17,6877,0.11,1.72,58173,921909,6.310058802,8.459066453
01/11/22,NEW,NEW,,0,0,5808354,0,5211615,0,3054980,0,58.62,2090068,0,68.42,90.89,6189964,94.7,2.96,1.22E+07,7.72E+08,1.575652514,1.964426611
