month,ltr_taxi,recency_taxi,ao_recency,existing_custr_count,existing_custr_distr,ao_users,ao_conversion,fe_users,fe_conversion,rr_users,rr_conversion,fe_rr(users),net_users,net_conversion,rr_net(users),net_users_distr,net_rides,net_rides_distr,rpc,discount,subtotal,discount_perc,dpr
2022-11-01,LTR=0,LTR=0,1. LAST_7_DAYS,361411,1.08,239165,66.18,189752,52.5,144412,39.96,76.11,93138,25.77,64.49,1.71,238119,1.12,2.56,1670073.0,21079639.0,7.922683116157729,7.013606642057122
2022-11-01,LTR=0,LTR=0,2. 8_14_DAYS,217587,0.65,90068,41.39,65112,29.92,43769,20.12,67.22,26245,12.06,59.96,0.48,52006,0.25,1.98,401191.0,4996163.0,8.029982208346686,7.7143214244510245
2022-11-01,LTR=0,LTR=0,3. 15_30_DAYS,380687,1.14,111203,29.21,79491,20.88,51772,13.6,65.13,31174,8.19,60.21,0.57,59249,0.28,1.9,489433.0,5621854.0,8.705900224374378,8.260611993451366
2022-11-01,LTR=0,LTR=0,4. 31_60_DAYS,434351,1.3,80847,18.61,58378,13.44,37821,8.71,64.79,23117,5.32,61.12,0.42,42677,0.2,1.85,362595.0,3977390.0,9.11640548198693,8.496262623895776
2022-11-01,LTR=0,LTR=0,5. 61_90_DAYS,372598,1.12,44121,11.84,33276,8.93,21575,5.79,64.84,13379,3.59,62.01,0.25,25172,0.12,1.88,214600.0,2363013.0,9.08162587340823,8.525345622119815
2022-11-01,LTR=0,LTR=0,6. 91_180_DAYS,836834,2.51,58466,6.99,48647,5.81,31659,3.78,65.08,20226,2.42,63.89,0.37,38964,0.18,1.93,337643.0,3479072.0,9.704973050284673,8.665511754439995
2022-11-01,LTR=0,LTR=0,7. 181_365_DAYS,839065,2.51,35966,4.29,31688,3.78,21203,2.53,66.91,14133,1.68,66.66,0.26,28219,0.13,2.0,244060.0,2425984.0,10.06024771803936,8.648782735036677
2022-11-01,LTR=0,LTR=0,NO_AO,1665044,4.99,40198,2.41,35764,2.15,24945,1.5,69.75,17853,1.07,71.57,0.33,38247,0.18,2.14,322342.0,3157554.0,10.208598174409685,8.427902842052971
2022-11-01,NEW,NEW,,0,0.0,9215535,0.0,8034839,0.0,6515250,0.0,81.09,5218758,0.0,80.1,95.62,20662183,97.53,3.96,63405006.0,1631797754.0,3.8855921847285493,3.0686499098376974
